Book,Page,Type,Category,Legendary,CR,PB,AC,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Magic Resistance
SKT,188.0,humanoid,generic,N,0.125,2,12.0,10,14,10,11,12,11,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,12.0,humanoid,generic,N,0.25,2,12.0,10,14,10,11,12,11,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,219.0,fiend,generic,N,9.0,4,16.0,20,18,16,15,14,16,5.0,4.0,3.0,2.0,2.0,3.0,False,False,True,False,False,True,5,4,7,2,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,160.0,fiend,generic,N,7.0,3,15.0,14,17,14,13,16,11,2.0,3.0,2.0,1.0,3.0,0.0,False,True,False,False,True,False,2,6,2,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,161.0,fiend,generic,N,17.0,6,19.0,15,14,17,22,23,18,2.0,2.0,3.0,6.0,6.0,4.0,False,False,False,True,True,False,2,2,3,12,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,162.0,fiend,generic,N,15.0,5,18.0,12,17,16,17,12,19,1.0,3.0,3.0,3.0,1.0,4.0,False,False,False,True,False,True,1,3,3,8,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,162.0,fiend,generic,N,19.0,6,22.0,23,16,19,14,15,19,6.0,3.0,4.0,2.0,2.0,4.0,True,False,True,False,True,False,12,3,10,2,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,163.0,fiend,generic,N,6.0,3,15.0,16,11,18,11,12,13,3.0,0.0,4.0,0.0,1.0,1.0,True,False,True,False,False,False,6,0,7,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
VGtM,209.0,humanoid,generic,N,9.0,4,15.0,9,14,14,18,12,11,-1.0,2.0,2.0,4.0,1.0,0.0,False,False,False,True,True,False,-1,2,2,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,13.0,aberration,legendary,LL,10.0,4,17.0,21,9,15,18,15,18,5.0,-1.0,2.0,4.0,2.0,4.0,False,False,True,True,True,False,5,-1,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
BGDiA,97.0,fiend,generic,N,0.25,2,13.0,6,14,13,4,9,5,-2.0,2.0,1.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-2,2,1,-3,-1,-3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MToF,136.0,fiend,generic,N,0.25,2,11.0,9,12,11,5,8,5,-1.0,1.0,0.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-1,1,0,-3,-1,-3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
ToA,209.0,undead,unique,L,23.0,7,21.0,13,16,20,27,21,20,1.0,3.0,5.0,8.0,5.0,5.0,False,False,True,True,True,False,1,3,12,15,12,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,False
MM,342.0,humanoid,generic,N,0.25,2,10.0,10,10,10,10,14,11,0.0,0.0,0.0,0.0,2.0,0.0,False,False,False,False,False,False,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
EGtW,283.0,monstrosity,generic,N,10.0,4,15.0,21,18,18,6,14,8,5.0,4.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5,4,4,-2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
EGtW,284.0,monstrosity,generic,N,8.0,3,15.0,21,16,18,6,14,8,5.0,3.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5,3,4,-2,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
EGtW,283.0,monstrosity,generic,N,12.0,4,17.0,19,14,18,7,14,18,4.0,2.0,4.0,-2.0,2.0,4.0,False,False,False,False,True,True,4,2,4,-2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
PotA,193.0,humanoid,unique,N,7.0,3,16.0,8,16,12,17,10,16,-1.0,3.0,1.0,3.0,0.0,3.0,False,False,False,False,False,False,-1,3,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
WDH,193.0,humanoid,unique,N,9.0,4,18.0,20,15,14,15,14,12,5.0,2.0,2.0,2.0,2.0,1.0,True,False,True,False,False,False,9,2,6,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MM,124.0,elemental,generic,N,5.0,3,15.0,14,20,14,6,10,6,2.0,5.0,2.0,-2.0,0.0,-2.0,False,False,False,False,False,False,2,5,2,-2,0,-2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,False
PotA,212.0,elemental,generic,N,7.0,3,18.0,18,14,14,9,10,10,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4,2,2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False
MOoT,228.0,humanoid,generic,N,3.0,2,18.0,16,16,14,11,14,13,3.0,3.0,2.0,0.0,2.0,1.0,True,True,False,False,False,False,5,5,2,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ToA,210.0,humanoid,generic,N,0.25,2,13.0,13,13,17,12,14,11,1.0,1.0,3.0,1.0,2.0,0.0,False,False,False,False,False,False,1,1,3,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ToA,210.0,monstrosity,generic,N,1.0,2,14.0,13,8,12,10,14,10,1.0,-1.0,1.0,0.0,2.0,0.0,False,False,False,False,False,False,1,-1,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
VGtM,172.0,undead,generic,N,10.0,4,15.0,11,12,16,19,17,17,0.0,1.0,3.0,4.0,3.0,3.0,False,False,True,True,True,True,0,1,7,8,7,7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,130.0,fiend,generic,N,11.0,4,17.0,12,19,22,6,11,7,1.0,4.0,6.0,-2.0,0.0,-2.0,False,True,True,False,False,False,1,8,10,-2,0,-2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
MToF,116.0,undead,generic,N,5.0,3,13.0,6,17,10,17,15,16,-2.0,3.0,0.0,3.0,2.0,3.0,False,False,False,True,True,False,-2,3,0,6,5,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False
MM,79.0,beast,generic,N,2.0,2,13.0,19,13,17,2,12,5,4.0,1.0,3.0,-4.0,1.0,-3.0,False,False,False,False,False,False,4,1,3,-4,1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
MOoT,235.0,fey,generic,N,1.0,2,15.0,15,10,12,13,14,18,2.0,0.0,1.0,1.0,2.0,4.0,False,False,False,False,False,False,2,0,1,1,2,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
WDH,193.0,humanoid,unique,N,5.0,3,15.0,9,14,11,17,12,15,-1.0,2.0,0.0,3.0,1.0,2.0,False,False,False,True,True,False,-1,2,0,6,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
MToF,163.0,fiend,generic,N,18.0,6,21.0,11,13,16,20,12,18,0.0,1.0,3.0,5.0,1.0,4.0,False,True,True,False,True,True,0,7,9,5,7,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
TftYP,84.0,beast,generic,N,3.0,2,12.0,19,14,12,1,10,3,4.0,2.0,1.0,-5.0,0.0,-4.0,False,False,False,False,False,False,4,2,1,-5,0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GoS,230.0,monstrosity,generic,N,0.5,2,14.0,14,18,12,3,10,3,2.0,4.0,1.0,-4.0,0.0,-4.0,False,False,False,False,False,False,2,4,1,-4,0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
BGDiA,30.0,humanoid,unique,N,3.0,2,17.0,12,18,12,14,14,15,1.0,4.0,1.0,2.0,2.0,2.0,False,False,False,False,False,False,1,4,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,239.0,humanoid,generic,N,0.25,2,13.0,14,13,12,9,11,10,2.0,1.0,1.0,-1.0,0.0,0.0,False,False,False,False,False,False,2,1,1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GGtR,191.0,celestial,generic,N,14.0,5,18.0,16,18,14,19,20,23,3.0,4.0,2.0,4.0,5.0,6.0,False,False,False,True,True,True,3,4,2,9,10,11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
MM,16.0,celestial,generic,N,10.0,4,17.0,18,18,18,17,20,20,4.0,4.0,4.0,3.0,5.0,5.0,False,False,False,False,True,True,4,4,4,3,9,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
