Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
FToD,208.0,dragon,legendary,L,28.0,8,120000.0,565.5,22.0,685.5,24.0,18.0,18.0,195.0,195.0
FToD,208.0,dragon,legendary,L,28.0,8,120000.0,565.5,22.0,685.5,24.0,18.0,18.0,195.0,195.0
FToD,208.0,dragon,legendary,L,28.0,8,120000.0,565.5,22.0,685.5,24.0,18.0,18.0,195.0,195.0
FToD,208.0,dragon,legendary,L,28.0,8,120000.0,565.5,22.0,685.5,24.0,18.0,18.0,195.0,195.0
FToD,208.0,dragon,legendary,L,28.0,8,120000.0,565.5,22.0,685.5,24.0,18.0,18.0,195.0,195.0
FToD,168.0,dragon,legendary,L,27.0,8,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
FToD,168.0,dragon,legendary,L,27.0,8,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
FToD,168.0,dragon,legendary,L,27.0,8,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
FToD,168.0,dragon,legendary,L,27.0,8,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
FToD,168.0,dragon,legendary,L,27.0,8,105000.0,533.0,22.0,653.0,24.0,18.0,18.0,183.0,183.0
FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
ToA,209.0,undead,unique,L,23.0,7,50000.0,285.0,21.0,468.8,28.0,15.0,15.0,219.0,219.0
FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
FToD,201.0,dragon,legendary,L,26.0,8,90000.0,507.0,21.0,627.0,23.0,17.0,17.0,173.83333,173.83333
FToD,191.0,dragon,legendary,LL,25.0,8,75000.0,409.5,22.0,499.5,24.0,16.0,16.0,197.0,197.0
MToF,213.0,construct,generic,N,25.0,8,75000.0,432.0,22.0,522.0,26.0,20.0,20.0,125.0,125.0
PotA,193.0,humanoid,unique,N,7.0,3,2900.0,66.0,16.0,106.0,16.0,6.0,6.0,76.666664,76.666664
WDH,193.0,humanoid,unique,N,9.0,4,5000.0,143.0,18.0,183.0,18.0,9.0,9.0,47.0,47.0
ERftLW,314.0,construct,generic,N,25.0,8,75000.0,410.0,23.0,625.0,27.0,18.0,18.0,131.0,131.0
FToD,160.0,dragon,legendary,LL,24.0,7,62000.0,444.0,20.0,609.0,22.0,15.0,15.0,128.66667,128.66667
FToD,191.0,dragon,legendary,L,24.0,7,62000.0,409.5,22.0,499.5,24.0,16.0,16.0,169.0,169.0
MM,113.0,dragon,legendary,LL,24.0,7,62000.0,546.0,22.0,636.0,26.0,17.0,21.0,141.0,141.0
MM,97.0,dragon,legendary,LL,24.0,7,62000.0,546.0,22.0,636.0,24.0,17.0,17.0,177.66667,177.66667
FToD,160.0,dragon,legendary,L,23.0,7,50000.0,444.0,20.0,534.0,22.0,15.0,15.0,128.66667,128.66667
MM,90.0,dragon,legendary,LL,23.0,7,50000.0,481.0,22.0,586.0,24.0,16.0,16.0,173.0,173.0
MToF,200.0,elemental,legendary,L,23.0,7,50000.0,264.0,19.0,480.0,21.0,16.0,16.0,132.66667,132.66667
MM,130.0,celestial,legendary,L,23.0,7,50000.0,313.5,22.0,503.8,26.0,17.0,17.0,146.66667,146.66667
MM,197.0,monstrosity,legendary,LL,23.0,7,50000.0,472.5,18.0,590.0,22.0,15.0,15.0,284.0,284.0
SKT,241.0,elemental,legendary,L,23.0,7,50000.0,341.0,16.0,341.0,20.0,12.0,12.0,253.0,253.0
FToD,214.0,dragon,legendary,LL,23.0,7,50000.0,370.0,20.0,535.0,22.0,15.0,15.0,131.66667,131.66667
MM,116.0,dragon,legendary,LL,23.0,7,50000.0,487.5,22.0,577.0,24.0,17.0,17.0,158.33333,158.33333
WDH,193.0,humanoid,unique,N,5.0,3,1800.0,45.0,15.0,67.5,15.0,6.0,6.0,64.666664,64.666664
MM,107.0,dragon,legendary,LL,22.0,7,41000.0,444.0,22.0,534.0,24.0,16.0,16.0,157.33333,157.33333
FToD,194.0,aberration,legendary,L,22.0,7,41000.0,350.0,17.0,470.0,19.0,15.0,15.0,150.83333,150.83333
BGDiA,30.0,humanoid,unique,N,3.0,2,700.0,66.0,17.0,66.0,17.0,6.0,6.0,18.0,18.0
FToD,195.0,dragon,legendary,LL,22.0,7,41000.0,332.5,20.0,422.5,27.0,14.0,17.0,124.333336,124.333336
MM,93.0,dragon,legendary,LL,22.0,7,41000.0,385.0,21.0,490.0,23.0,15.0,15.0,175.0,175.0
VGtM,172.0,undead,legendary,L,22.0,7,41000.0,135.0,17.0,356.3,26.0,12.0,12.0,158.66667,158.66667
FToD,211.0,dragon,legendary,LL,22.0,7,41000.0,330.0,20.0,465.0,22.0,13.0,13.0,107.833336,107.833336
SaCoC,185.0,elemental,generic,N,0.25,2,50.0,18.0,11.0,18.0,11.0,3.0,3.0,6.0,6.0
SaCoC,192.0,construct,generic,N,0.25,2,50.0,27.0,12.0,27.0,12.0,3.0,3.0,6.0,6.0
SaCoC,195.0,ooze,generic,N,0.25,2,50.0,18.0,13.0,18.0,17.0,5.0,5.0,5.5,5.5
SaCoC,203.0,monstrosity,generic,N,0.25,2,50.0,22.0,13.0,37.0,13.0,4.0,4.0,4.5,4.5
SaCoC,216.0,construct,generic,N,0.25,2,50.0,26.0,14.0,26.0,14.0,4.0,4.0,5.5,6.6666665
SaCoC,191.0,humanoid,generic,N,0.5,2,100.0,33.0,11.0,33.0,13.0,3.0,3.0,7.5,8.166667
SaCoC,217.0,construct,generic,N,1.0,2,200.0,31.5,17.0,31.5,17.0,4.0,4.0,13.0,13.0
SaCoC,197.0,humanoid,generic,N,2.0,2,450.0,33.0,15.0,33.0,15.0,4.0,4.0,22.0,22.0
SaCoC,205.0,humanoid,generic,N,2.0,2,450.0,44.0,15.0,44.0,15.0,4.0,6.0,10.5,10.5
SaCoC,208.0,humanoid,generic,N,2.0,2,450.0,44.0,14.0,44.0,14.0,4.0,4.0,29.0,29.0
SaCoC,210.0,beast,generic,N,2.0,2,450.0,76.0,13.0,76.0,13.0,7.0,7.0,14.0,14.0
