Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Aarakocra Simulacrum,SKT,188.0,humanoid,generic,N,0.125,2.0,25.0,6.0,12.0,6.0,12.0,4.0,4.0,5.5,6.6666665
Aarakokra,MM,12.0,humanoid,generic,N,0.25,2.0,50.0,13.5,12.0,13.5,12.0,4.0,4.0,5.5,6.6666665
Abhorrent Overlord,MOoT,219.0,fiend,generic,N,9.0,4.0,5000.0,136.0,16.0,157.0,18.0,9.0,9.0,58.666668,58.666668
"Abishai, Black",MPMotM,38.0,fiend,generic,N,7.0,3.0,2900.0,58.5,15.0,117.0,21.0,6.0,8.0,30.5,30.5
"Abishai, Black",MToF,160.0,fiend,legacy,N,7.0,3.0,2900.0,58.5,15.0,117.0,21.0,6.0,10.0,29.0,29.0
"Abishai, Blue",MPMotM,39.0,fiend,generic,N,17.0,6.0,18000.0,202.5,19.0,253.1,21.0,12.0,12.0,108.0,108.0
"Abishai, Blue",MToF,161.0,fiend,legacy,N,17.0,6.0,18000.0,195.0,19.0,292.5,21.0,12.0,12.0,118.0,118.0
"Abishai, Green",MPMotM,40.0,fiend,generic,N,15.0,5.0,13000.0,195.0,18.0,292.5,20.0,8.0,8.0,57.0,57.0
"Abishai, Green",MToF,162.0,fiend,legacy,N,15.0,5.0,13000.0,187.5,18.0,233.8,20.0,8.0,8.0,29.5,29.5
"Abishai, Red",MPMotM,40.0,fiend,generic,N,19.0,6.0,22000.0,289.0,22.0,361.3,26.0,12.0,12.0,89.0,89.0
"Abishai, Red",MToF,162.0,fiend,legacy,N,19.0,6.0,22000.0,255.0,22.0,255.0,26.0,12.0,12.0,87.5,87.5
"Abishai, White",MPMotM,41.0,fiend,generic,N,6.0,3.0,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,35.0,35.0
"Abishai, White",MToF,163.0,fiend,legacy,N,6.0,3.0,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,17.0,25.5
Aboleth,MM,13.0,aberration,legendary,LL,10.0,4.0,5900.0,135.0,17.0,135.0,19.0,9.0,9.0,98.0,98.0
Abyssal Chicken,BGDiA,97.0,fiend,generic,N,0.25,2.0,50.0,10.5,13.0,15.8,13.0,4.0,4.0,9.0,9.0
Abyssal Wretch,MToF,136.0,fiend,generic,N,0.25,2.0,50.0,18.0,11.0,36.0,11.0,3.0,3.0,5.5,5.5
Acererak,ToA,209.0,undead,unique,L,23.0,7.0,50000.0,285.0,21.0,468.8,28.0,15.0,15.0,219.0,219.0
Acolyte,MM,342.0,humanoid,generic,N,0.25,2.0,50.0,9.0,10.0,9.0,12.0,4.0,4.0,4.5,4.5
Aeorian Absorber,EGtW,283.0,monstrosity,generic,N,10.0,4.0,5900.0,171.0,15.0,201.0,17.0,9.0,9.0,40.0,55.333332
Aeorian Reverser,EGtW,284.0,monstrosity,generic,N,8.0,3.0,3900.0,133.0,15.0,133.0,17.0,8.0,8.0,49.0,62.5
