Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR
Aarakocra,MM,12.0,humanoid,generic,N,0.25,2,50.0,13.5,12.0,13.5,12.0,4.0,4.0,5.5,6.6666665
Aarakocra Simulacrum,SKT,188.0,humanoid,generic,N,0.125,2,25.0,6.0,12.0,6.0,12.0,4.0,4.0,5.5,6.6666665
Aartuk Elder,SAiS:BAM,8.0,plant,generic,N,3.0,2,700.0,75.0,16.0,75.0,16.0,6.0,6.0,22.0,22.0
Aartuk Starhorror,SAiS:BAM,9.0,plant,generic,N,2.0,2,450.0,52.0,14.0,52.0,14.0,3.0,3.0,16.0,16.0
Aartuk Weedling,SAiS:BAM,9.0,plant,generic,N,2.0,2,450.0,38.5,15.0,38.5,15.0,4.0,4.0,16.0,16.0
Aberrant Zealot,PaBTSO,203.0,aberration,generic,N,8.0,3,3900.0,93.5,16.0,138.5,16.0,7.0,7.0,55.5,62.5
Abhorrent Overlord,MOoT,219.0,fiend,generic,N,9.0,4,5000.0,136.0,16.0,157.0,18.0,9.0,9.0,58.666668,58.666668
Aboleth,MM,13.0,aberration,legendary,LL,10.0,4,5900.0,135.0,17.0,135.0,19.0,9.0,9.0,98.0,98.0
Abyssal Chicken,BGDiA,97.0,fiend,generic,N,0.25,2,50.0,10.5,13.0,15.8,13.0,4.0,4.0,9.0,9.0
Abyssal Wretch,MToF,136.0,fiend,generic,N,0.25,2,50.0,18.0,11.0,36.0,11.0,3.0,3.0,5.5,5.5
Acererak,ToA,209.0,undead,unique,L,23.0,7,50000.0,285.0,21.0,468.8,28.0,15.0,15.0,219.0,219.0
Acolyte,MM,342.0,humanoid,generic,N,0.25,2,50.0,9.0,10.0,9.0,12.0,4.0,4.0,4.5,4.5
Adult Amethyst Dragon,FToD,161.0,dragon,legendary,L,16.0,5,15000.0,229.5,19.0,319.5,21.0,12.0,12.0,97.833336,97.833336
Adult Amethyst Dragon,FToD,161.0,dragon,legendary,LL,17.0,6,18000.0,229.5,19.0,394.5,21.0,12.0,12.0,97.833336,97.833336
Adult Lunar Dragon,SAiS:BAM,34.0,dragon,legendary,L,13.0,5,10000.0,172.5,17.0,232.5,17.0,11.0,11.0,78.333336,78.333336
Adult Solar Dragon,SAiS:BAM,52.0,dragon,legendary,L,14.0,5,11500.0,200.0,17.0,260.0,19.0,12.0,12.0,89.166664,89.166664
Adult Time Dragon,PAitM:MPP,50.0,dragon,legendary,L,18.0,6,20000.0,250.0,19.0,400.0,21.0,13.0,15.0,87.0,87.0
Adult Time Dragon,PAitM:MPP,50.0,dragon,legendary,LL,19.0,6,22000.0,250.0,19.0,400.0,21.0,13.0,15.0,104.333336,115.666664
Aeorian Absorber,EGtW,283.0,monstrosity,generic,N,10.0,4,5900.0,171.0,15.0,201.0,17.0,9.0,9.0,40.0,55.333332
Aeorian Nullifier,EGtW,283.0,monstrosity,generic,N,12.0,4,8400.0,180.5,17.0,240.5,22.0,8.0,8.0,72.0,72.0
Aeorian Reverser,EGtW,284.0,monstrosity,generic,N,8.0,3,3900.0,133.0,15.0,133.0,17.0,8.0,8.0,49.0,62.5
Aerisi Kalinoth,PotA,193.0,humanoid,unique,N,7.0,3,2900.0,66.0,16.0,106.0,16.0,6.0,6.0,76.666664,76.666664
