Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,D-CR DMG,O-CR DMG,CR DMG,XP DMG,eHP,D-eCR,eDPR,O-eCR,eCR,eXP
MOoT,219.0,fiend,generic,N,9.0,4,5000.0,136.0,16.0,157.0,18.0,9.0,9.0,58.666668,7.0,10.0,8.0,3900.0,210.4,8.0,82.5,10.0,9.0,4342.0
MToF,160.0,fiend,generic,N,7.0,3,2900.0,58.5,15.0,116.0,21.0,6.0,10.0,29.0,7.0,6.0,6.0,2300.0,180.0,6.0,42.8,5.0,5.0,1928.0
MToF,161.0,fiend,generic,N,17.0,6,18000.0,195.0,19.0,292.5,21.0,12.0,12.0,118.0,16.0,20.0,18.0,20000.0,453.8,17.0,192.2,20.0,19.0,21804.0
MToF,162.0,fiend,generic,N,15.0,5,13000.0,187.5,18.0,233.8,20.0,8.0,8.0,29.0,12.0,5.0,8.0,3900.0,345.4,13.0,38.9,5.0,8.0,3355.0
MToF,162.0,fiend,generic,N,19.0,6,22000.0,255.0,22.0,255.0,26.0,12.0,12.0,,17.0,16.0,16.0,15000.0,504.9,19.0,141.7,16.0,17.0,17887.0
MToF,163.0,fiend,generic,N,6.0,3,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,24.0,6.0,4.0,5.0,1800.0,173.6,6.0,29.2,3.0,4.0,1266.0
VGtM,209.0,humanoid,generic,N,9.0,4,5000.0,84.5,12.0,129.0,17.0,8.0,8.0,80.666664,5.0,13.0,9.0,5000.0,164.6,5.0,108.1,13.0,9.0,4449.0
MM,13.0,aberration,legendary,LL,10.0,4,5900.0,135.0,17.0,135.0,19.0,9.0,9.0,98.0,7.0,15.0,11.0,7200.0,190.0,7.0,137.9,16.0,11.0,6549.0
ToA,209.0,undead,unique,L,23.0,7,50000.0,285.0,21.0,468.8,28.0,15.0,15.0,219.0,26.0,26.0,26.0,90000.0,1023.2,28.0,413.0,26.0,27.0,105637.0
PotA,193.0,humanoid,unique,LL,7.0,3,2900.0,66.0,13.0,121.0,16.0,6.0,6.0,114.0,5.0,16.0,10.0,5900.0,147.1,4.0,138.6,16.0,9.0,5095.0
PotA,193.0,humanoid,unique,L,7.0,3,2900.0,66.0,13.0,106.0,16.0,6.0,6.0,76.666664,4.0,11.0,7.0,2900.0,128.8,4.0,93.2,11.0,7.0,3002.0
WDH,193.0,humanoid,unique,N,9.0,4,5000.0,143.0,18.0,183.0,18.0,9.0,9.0,47.0,9.0,8.0,8.0,3900.0,245.2,9.0,66.1,8.0,8.0,4055.0
MM,124.0,elemental,generic,N,5.0,3,1800.0,90.0,15.0,135.0,15.0,8.0,8.0,30.666666,5.0,5.0,5.0,1800.0,156.3,5.0,41.1,5.0,5.0,1606.0
PotA,212.0,elemental,generic,N,7.0,3,2900.0,117.0,18.0,175.5,18.0,7.0,7.0,24.666666,8.0,4.0,6.0,2300.0,235.2,9.0,31.5,4.0,5.0,1851.0
MOoT,228.0,humanoid,generic,N,3.0,2,700.0,52.0,18.0,52.0,18.0,5.0,5.0,28.0,2.0,4.0,3.0,700.0,69.7,0.5,32.4,4.0,2.0,565.0
ToA,210.0,monstrosity,generic,N,1.0,2,200.0,49.5,14.0,45.0,14.0,3.0,3.0,10.0,0.25,1.0,0.5,100.0,49.6,0.25,10.5,1.0,0.5,130.0
VGtM,172.0,undead,generic,N,10.0,4,5900.0,120.0,15.0,240.0,24.0,8.0,8.0,72.0,15.0,11.0,13.0,10000.0,431.0,17.0,96.5,11.0,14.0,10397.0
