source.book,source.page,size,type,cr,legacy,damage immunities,damage resistances,damage vulnerabilities,damage modifiers.acid,damage modifiers.bludgeoning,damage modifiers.cold,damage modifiers.fire,damage modifiers.force,damage modifiers.lightning,damage modifiers.necrotic,damage modifiers.piercing,damage modifiers.poison,damage modifiers.psychic,damage modifiers.radiant,damage modifiers.slashing,damage modifiers.thunder
Infernal Machine Rebuild,53,Large,Giant,8.0,False,,,,,,,,,,,,,,,,
Monster Manual,12,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,8,Large,Plant,3.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,9,Medium,Plant,2.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,9,Medium,Plant,2.0,False,,,,,,,,,,,,,,,,
Mythic Odysseys of Theros,219,Large,Fiend,9.0,False,poison,"cold, necrotic",,,,R,,,,R,,I,,,,
Volo's Guide to Monsters,209,Medium,Humanoid,9.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,260,Medium,Humanoid,9.0,False,,,,,,,,,,,,,,,,
Basic Rules,261,Large,Aberration,10.0,False,,,,,,,,,,,,,,,,
Critical Role: Call of the Netherdeep,135,Medium,Aberration,5.0,False,,psychic,,,,,,,,,,,R,,,
Monster Manual,306,Huge,Monstrosity,9.0,False,cold,,,,,I,,,,,,,,,,
Baldur's Gate: Descent into Avernus,97,Tiny,Fiend,0.25,False,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Mordenkainen’s Tome of Foes,136,Medium,Fiend,0.25,True,poison,"cold, fire, lightning",,,,R,R,,R,,,I,,,,
Tomb of Annihilation,,Medium,Undead,23.0,False,"necrotic, poison; bludgeoning, piercing, and slashing from nonmagical weapons","cold, lightning",,,I-N,R,,,R,I,I-N,I,,,I-N,
Basic Rules,162,Medium,Humanoid,0.25,False,,,,,,,,,,,,,,,,
Fizban's Treasury of Dragons,161,Huge,Dragon,16.0,False,,"force, psychic",,,,,,R,,,,,R,,,
Basic Rules,281,Huge,Dragon,14.0,False,acid,,,I,,,,,,,,,,,,
Monster Manual,84,Huge,Undead,17.0,False,"lightning, poison",necrotic,,,,,,,I,R,,I,,,,
Basic Rules,283,Huge,Dragon,16.0,False,lightning,,,,,,,,I,,,,,,,
Basic Rules,291,Huge,Dragon,13.0,False,fire,,,,,,I,,,,,,,,,
Basic Rules,294,Huge,Dragon,15.0,False,lightning,,,,,,,,I,,,,,,,
Basic Rules,296,Huge,Dragon,14.0,False,acid,,,I,,,,,,,,,,,,
Fizban's Treasury of Dragons,171,Huge,Dragon,12.0,False,,"cold, radiant",,,,R,,,,,,,,R,,
Fizban's Treasury of Dragons,174,Huge,Dragon,11.0,False,,"poison, psychic",,,,,,,,,,R,R,,,
Fizban's Treasury of Dragons,196,Huge,Dragon,14.0,False,,"fire, psychic",,,,,R,,,,,,R,,,
Basic Rules,299,Huge,Dragon,17.0,False,fire,,,,,,I,,,,,,,,,
Basic Rules,285,Huge,Dragon,15.0,False,poison,,,,,,,,,,,I,,,,
Mordenkainen’s Tome of Foes,212,Medium,Monstrosity,2.0,True,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,169,Medium,Monstrosity,2.0,False,,,,,,,,,,,,,,,,
Spelljammer: Adventures in Space ,34,Huge,Dragon,13.0,False,cold,,,,,I,,,,,,,,,,
Fizban's Treasury of Dragons,212,Huge,Dragon,15.0,False,,,,,,,,,,,,,,,,
Mordenkainen Presents: Monsters of the Multiverse,198,Medium,Ooze,5.0,False,,,,,,,,,,,,,,,,
Mordenkainen’s Tome of Foes,218,Medium,Ooze,5.0,True,,,,,,,,,,,,,,,,
Basic Rules,115,Huge,Dragon,17.0,False,fire,,,,,,I,,,,,,,,,
Fizban's Treasury of Dragons,215,Huge,Dragon,15.0,False,,"lightning, thunder",,,,,,,R,,,,,,,R
Basic Rules,302,Huge,Dragon,16.0,False,cold,,,,,I,,,,,,,,,,
Spelljammer: Adventures in Space ,,Huge,Dragon,14.0,False,radiant,,,,,,,,,,,,,I,,
Fizban's Treasury of Dragons,221,Huge,Dragon,13.0,False,,"cold, necrotic",,,,R,,,,R,,,,,,
Basic Rules,289,Huge,Dragon,13.0,False,cold,,,,,I,,,,,,,,,,
Explorer's Guide to Wildemount,283,Large,Monstrosity,10.0,False,"radiant, necrotic",,,,,,,,,I,,,,I,,
Explorer's Guide to Wildemount,283,Large,Monstrosity,12.0,False,"radiant, necrotic",,,,,,,,,I,,,,I,,
