Monster,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Aarakocra,MM,12.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,2.0,0.0,0.0,1.0,0.0,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,12.0,12.0,13.5,13.5,0.5,0.5,4.0,4.0,5.5,6.6666665,
Aboleth,MM,13.0,aberration,large,legendary,LL,10.0,4,5900.0,5.0,-1.0,2.0,4.0,2.0,4.0,5,-1,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,17.0,17.0,135.0,135.0,4.7,4.7,9.0,9.0,98.0,98.0,14.0
Abominable Yeti,MM,306.0,monstrosity,huge,generic,N,9.0,4,5000.0,7.0,0.0,6.0,-1.0,1.0,-1.0,7,0,6,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,15.0,15.0,137.5,177.5,2.0,2.0,11.0,11.0,72.0,72.0,18.0
Acolyte,MM,342.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,10.0,14.0,9.0,9.0,0.3,4.3,4.0,4.0,4.5,4.5,12.0
Adult Black Dragon,MM,88.0,dragon,huge,legendary,L,14.0,5,11500.0,6.0,2.0,5.0,2.0,1.0,3.0,6,7,10,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,19.0,19.0,195.5,285.5,6.5,6.5,11.0,11.0,109.666664,109.666664,18.0
Adult Blue Dracolich,MM,84.0,undead,huge,legendary,L,17.0,6,18000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,6,12,3,8,10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0,19.0,19.0,225.0,315.0,7.7,11.7,13.0,13.0,126.0,126.0,20.0
Adult Blue Dragon,MM,91.0,dragon,huge,legendary,L,16.0,5,15000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,5,11,3,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,19.0,19.0,225.0,315.0,7.0,7.0,12.0,12.0,126.0,126.0,19.0
Adult Brass Dragon,MM,105.0,dragon,huge,legendary,L,13.0,5,10000.0,6.0,0.0,5.0,2.0,1.0,3.0,6,5,10,2,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,18.0,18.0,172.5,262.5,6.2,6.2,11.0,11.0,103.666664,103.666664,18.0
Adult Bronze Dragon,MM,108.0,dragon,huge,legendary,L,15.0,5,13000.0,7.0,0.0,6.0,3.0,2.0,4.0,7,5,11,3,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,19.0,19.0,212.5,302.5,7.0,7.0,12.0,12.0,122.666664,122.666664,19.0
Adult Copper Dragon,MM,111.0,dragon,huge,legendary,L,14.0,5,11500.0,6.0,1.0,5.0,4.0,2.0,3.0,6,6,10,4,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,18.0,18.0,184.0,274.0,6.8,6.8,11.0,11.0,109.666664,109.666664,18.0
