Book,Page,Type,Category,Legendary,CR,PB,Size,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
SKT,188.0,humanoid,generic,N,0.125,2.0,medium,10.0,14.0,10.0,11.0,12.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0.0,2.0,0.0,0.0,1.0,0.0
MM,12.0,humanoid,generic,N,0.25,2.0,medium,10.0,14.0,10.0,11.0,12.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0.0,2.0,0.0,0.0,1.0,0.0
MOoT,219.0,fiend,generic,N,9.0,4.0,large,20.0,18.0,16.0,15.0,14.0,16.0,5.0,4.0,3.0,2.0,2.0,3.0,False,False,True,False,False,True,5.0,4.0,7.0,2.0,2.0,7.0
MPMotM,38.0,fiend,generic,N,7.0,3.0,medium,14.0,17.0,14.0,13.0,16.0,11.0,2.0,3.0,2.0,1.0,3.0,0.0,False,True,False,False,True,False,2.0,6.0,2.0,1.0,6.0,0.0
MToF,160.0,fiend,legacy,N,7.0,3.0,medium,14.0,17.0,14.0,13.0,16.0,11.0,2.0,3.0,2.0,1.0,3.0,0.0,False,True,False,False,True,False,2.0,6.0,2.0,1.0,6.0,0.0
MPMotM,39.0,fiend,generic,N,17.0,6.0,medium,15.0,14.0,17.0,22.0,23.0,18.0,2.0,2.0,3.0,6.0,6.0,4.0,False,False,False,True,True,False,2.0,2.0,3.0,12.0,12.0,4.0
MToF,161.0,fiend,legacy,N,17.0,6.0,medium,15.0,14.0,17.0,22.0,23.0,18.0,2.0,2.0,3.0,6.0,6.0,4.0,False,False,False,True,True,False,2.0,2.0,3.0,12.0,12.0,4.0
MPMotM,40.0,fiend,generic,N,15.0,5.0,medium,12.0,17.0,16.0,17.0,12.0,19.0,1.0,3.0,3.0,3.0,1.0,4.0,False,False,False,True,False,True,1.0,3.0,3.0,8.0,1.0,9.0
MToF,162.0,fiend,legacy,N,15.0,5.0,medium,12.0,17.0,16.0,17.0,12.0,19.0,1.0,3.0,3.0,3.0,1.0,4.0,False,False,False,True,False,True,1.0,3.0,3.0,8.0,1.0,9.0
MPMotM,40.0,fiend,generic,N,19.0,6.0,medium,23.0,16.0,19.0,14.0,15.0,19.0,6.0,3.0,4.0,2.0,2.0,4.0,True,False,True,False,True,False,12.0,3.0,10.0,2.0,8.0,4.0
MToF,162.0,fiend,legacy,N,19.0,6.0,medium,23.0,16.0,19.0,14.0,15.0,19.0,6.0,3.0,4.0,2.0,2.0,4.0,True,False,True,False,True,False,12.0,3.0,10.0,2.0,8.0,4.0
MPMotM,41.0,fiend,generic,N,6.0,3.0,medium,16.0,11.0,18.0,11.0,12.0,13.0,3.0,0.0,4.0,0.0,1.0,1.0,True,False,True,False,False,False,6.0,0.0,7.0,0.0,1.0,1.0
MToF,163.0,fiend,legacy,N,6.0,3.0,medium,16.0,11.0,18.0,11.0,12.0,13.0,3.0,0.0,4.0,0.0,1.0,1.0,True,False,True,False,False,False,6.0,0.0,7.0,0.0,1.0,1.0
MM,13.0,aberration,legendary,LL,10.0,4.0,large,21.0,9.0,15.0,18.0,15.0,18.0,5.0,-1.0,2.0,4.0,2.0,4.0,False,False,True,True,True,False,5.0,-1.0,6.0,8.0,6.0,4.0
BGDiA,97.0,fiend,generic,N,0.25,2.0,tiny,6.0,14.0,13.0,4.0,9.0,5.0,-2.0,2.0,1.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-2.0,2.0,1.0,-3.0,-1.0,-3.0
MToF,136.0,fiend,generic,N,0.25,2.0,medium,9.0,12.0,11.0,5.0,8.0,5.0,-1.0,1.0,0.0,-3.0,-1.0,-3.0,False,False,False,False,False,False,-1.0,1.0,0.0,-3.0,-1.0,-3.0
ToA,209.0,undead,unique,L,23.0,7.0,medium,13.0,16.0,20.0,27.0,21.0,20.0,1.0,3.0,5.0,8.0,5.0,5.0,False,False,True,True,True,False,1.0,3.0,12.0,15.0,12.0,5.0
MM,342.0,humanoid,generic,N,0.25,2.0,medium,10.0,10.0,10.0,10.0,14.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,2.0,0.0
EGtW,283.0,monstrosity,generic,N,10.0,4.0,large,21.0,18.0,18.0,6.0,14.0,8.0,5.0,4.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5.0,4.0,4.0,-2.0,6.0,3.0
EGtW,284.0,monstrosity,generic,N,8.0,3.0,large,21.0,16.0,18.0,6.0,14.0,8.0,5.0,3.0,4.0,-2.0,2.0,-1.0,False,False,False,False,True,True,5.0,3.0,4.0,-2.0,5.0,2.0
EGtW,283.0,monstrosity,generic,N,12.0,4.0,large,19.0,14.0,18.0,7.0,14.0,18.0,4.0,2.0,4.0,-2.0,2.0,4.0,False,False,False,False,True,True,4.0,2.0,4.0,-2.0,6.0,8.0
PotA,193.0,humanoid,unique,N,7.0,3.0,medium,8.0,16.0,12.0,17.0,10.0,16.0,-1.0,3.0,1.0,3.0,0.0,3.0,False,False,False,False,False,False,-1.0,3.0,1.0,3.0,0.0,3.0
WBtW,73.0,fey,unique,N,2.0,2.0,medium,11.0,20.0,11.0,11.0,14.0,16.0,0.0,5.0,0.0,0.0,2.0,3.0,False,True,False,False,True,False,0.0,7.0,0.0,0.0,4.0,3.0
WDH,193.0,humanoid,unique,N,9.0,4.0,medium,20.0,15.0,14.0,15.0,14.0,12.0,5.0,2.0,2.0,2.0,2.0,1.0,True,False,True,False,False,False,9.0,2.0,6.0,2.0,2.0,1.0
MM,124.0,elemental,generic,N,5.0,3.0,large,14.0,20.0,14.0,6.0,10.0,6.0,2.0,5.0,2.0,-2.0,0.0,-2.0,False,False,False,False,False,False,2.0,5.0,2.0,-2.0,0.0,-2.0
MPMotM,122.0,elemental,generic,N,7.0,3.0,medium,18.0,14.0,14.0,9.0,10.0,10.0,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4.0,2.0,2.0,-1.0,0.0,0.0
PotA,212.0,elemental,generic,N,7.0,3.0,medium,18.0,14.0,14.0,9.0,10.0,10.0,4.0,2.0,2.0,-1.0,0.0,0.0,False,False,False,False,False,False,4.0,2.0,2.0,-1.0,0.0,0.0
MOoT,228.0,humanoid,generic,N,3.0,2.0,medium,16.0,16.0,14.0,11.0,14.0,13.0,3.0,3.0,2.0,0.0,2.0,1.0,True,True,False,False,False,False,5.0,5.0,2.0,0.0,2.0,1.0
ToA,210.0,humanoid,generic,N,0.25,2.0,medium,13.0,13.0,17.0,12.0,14.0,11.0,1.0,1.0,3.0,1.0,2.0,0.0,False,False,False,False,False,False,1.0,1.0,3.0,1.0,2.0,0.0
ToA,210.0,monstrosity,generic,N,1.0,2.0,medium,13.0,8.0,12.0,10.0,14.0,10.0,1.0,-1.0,1.0,0.0,2.0,0.0,False,False,False,False,False,False,1.0,-1.0,1.0,0.0,2.0,0.0
MPMotM,43.0,undead,generic,N,10.0,4.0,medium,11.0,12.0,16.0,19.0,17.0,17.0,0.0,1.0,3.0,4.0,3.0,3.0,False,False,True,True,True,True,0.0,1.0,7.0,8.0,7.0,7.0
VGtM,172.0,undead,legacy,N,10.0,4.0,medium,11.0,12.0,16.0,19.0,17.0,17.0,0.0,1.0,3.0,4.0,3.0,3.0,False,False,True,True,True,True,0.0,1.0,7.0,8.0,7.0,7.0
MPMotM,44.0,fiend,generic,N,11.0,4.0,medium,12.0,19.0,22.0,6.0,11.0,7.0,1.0,4.0,6.0,-2.0,0.0,-2.0,False,True,True,False,False,False,1.0,8.0,10.0,-2.0,0.0,-2.0
