Book,Page,Size,Type,CR,PB,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
Infernal Machine Rebuild,53,Large,Giant,8.0,3,21,8,17,6,10,8,5,-1,3,-2,0,-1,5,-1,3,-2,0,-1
Monster Manual,12,Medium,Humanoid,0.25,2,10,14,10,11,12,11,0,2,0,0,1,0,0,2,0,0,1,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,8,Large,Plant,3.0,2,18,10,15,12,14,12,4,0,2,1,2,1,4,0,2,1,2,1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,9,Medium,Plant,2.0,2,12,10,14,13,16,10,1,0,2,1,3,0,1,0,2,1,3,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,9,Medium,Plant,2.0,2,14,12,13,10,13,10,2,1,1,0,1,0,2,1,1,0,1,0
Mythic Odysseys of Theros,219,Large,Fiend,9.0,4,20,18,16,15,14,16,5,4,3,2,2,3,5,4,7,2,2,7
Volo's Guide to Monsters,209,Medium,Humanoid,9.0,4,9,14,14,18,12,11,-1,2,2,4,1,0,-1,2,2,8,5,0
Mordenkainen Presents: Monsters of the Multiverse,260,Medium,Humanoid,9.0,4,9,14,14,18,12,11,-1,2,2,4,1,0,-1,2,2,8,5,0
Basic Rules,261,Large,Aberration,10.0,4,21,9,15,18,15,18,5,-1,2,4,2,4,5,-1,6,8,6,4
Critical Role: Call of the Netherdeep,135,Medium,Aberration,5.0,3,19,11,18,7,12,9,4,0,4,-2,1,-1,4,0,4,-2,1,-1
Monster Manual,306,Huge,Monstrosity,9.0,4,24,10,22,9,13,9,7,0,6,-1,1,-1,7,0,6,-1,1,-1
Baldur's Gate: Descent into Avernus,97,Tiny,Fiend,0.25,2,6,14,13,4,9,5,-2,2,1,-3,-1,-3,-2,2,1,-3,-1,-3
Mordenkainen’s Tome of Foes,136,Medium,Fiend,0.25,2,9,12,11,5,8,5,-1,1,0,-3,-1,-3,-1,1,0,-3,-1,-3
,,Medium,Undead,23.0,7,13,16,20,27,21,20,1,3,5,8,5,5,1,3,12,15,12,5
