Monster,Book,Page,Type,Category,Legendary,CR,PB,XP,HP,AC,adj HP,adj AC,AB,adj AB,DPR,adj DPR,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder
"Abishai, Black",MPMotM,38.0,fiend,generic,N,7.0,3,2900.0,58.5,15.0,117.0,21.0,6.0,8.0,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Black",MToF,160.0,fiend,legacy,N,7.0,3,2900.0,58.5,15.0,117.0,21.0,6.0,8.0,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Blue",MPMotM,39.0,fiend,generic,N,17.0,6,18000.0,202.5,19.0,253.1,21.0,12.0,12.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Blue",MToF,161.0,fiend,legacy,N,17.0,6,18000.0,195.0,19.0,243.8,21.0,12.0,12.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Green",MPMotM,40.0,fiend,generic,N,15.0,5,13000.0,195.0,18.0,243.8,20.0,8.0,8.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Green",MToF,162.0,fiend,legacy,N,15.0,5,13000.0,187.5,18.0,233.8,20.0,8.0,8.0,29.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Red",MPMotM,40.0,fiend,generic,N,19.0,6,22000.0,289.0,22.0,289.0,26.0,12.0,12.0,89.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, Red",MToF,162.0,fiend,legacy,N,19.0,6,22000.0,255.0,22.0,255.0,26.0,12.0,12.0,88.5,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, White",MPMotM,41.0,fiend,generic,N,6.0,3,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Abishai, White",MToF,163.0,fiend,legacy,N,6.0,3,2300.0,68.0,15.0,136.0,17.0,6.0,6.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Air Elemental Myrmidon,MPMotM,122.0,elemental,generic,N,7.0,3,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5
Air Elemental Myrmidon,MToF,202.0,elemental,legacy,N,7.0,3,2900.0,117.0,18.0,190.5,18.0,7.0,7.0,25.833334,25.833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5
