Book,Acronym,Date,Type
Baulder's Gate: Descent Into Avernus,BGDiA,2019-09-17,Adventure
Candlekeep Mysteries,CM,2021-03-16,Adventure
Critical Role: Call of the Netherdeep,CRCotN,2022-03-15,Adventure
Curse of Strahd,CoS,2016-03-16,Adventure
Dragonlance: Shadow of the Dragon Queen,DSotDQ,2022-12-06,Adventure
Eberron: Rising from the Last War,ERftLW,2019-11-19,Source
Explorer's Guide to Wildmount,EGtW,2020-03-07,Source
Fizban's Treasury of Dragons,FToD,2021-10-26,Source
Ghosts of Saltmarsh,GoS,2019-05-21,Adventure
Guildmaster's Guide to Ravnica,GGtR,2018-11-20,Source
Hoard of the Dragon Queen,HotDQ,2014-08-19,Adventure
Icewind Dale: Rime of the Frostmaiden,IDRotF,2020-09-15,Adventure
Journey Through the Radiant Citadel,JTtRC,2022-07-19,Adventure
Monster Manual,MM,2014-09-07,Source
Mordenkainen Presents: Monsters of the Multiverse,MPMotM,2022-05-16,Source
Mordenkainen's Tome of Foes,MToF,2018-05-29,Source
Mythic Odysseys of Theros,MOoT,2020-07-21,Source
Out of the Abyss,OotA,2015-09-15,Adventure
Princes of the Apocalypse,PotA,2015-04-07,Adventure
Rize of Tiamat,RoT,2014-11-04,Adventure
Spelljammer: Adventures in Space,SAiS,2022-08-16,Source
Storm King's Thunder,SKT,2016-09-06,Adventure
Strixhaven: a Curriculum of Chaos,SaCoC,2021-12-07,Adventure
Tales from the Yawning Portal,TftYP,2017-04-04,Adventure
Tasha's Cauldron of Everything,TCoE,2020-11-17,Source
The Wild Beyond the Witchlight,WBtW,2021-09-21,Adventure
Tomb of Annihilation,ToA,2017-09-19,Adventure
Van Richten's Guide to Ravenloft,VRGtR,2021-05-18,Source
Volo's Guide to Monsters,VGtM,2016-11-15,Source
Waterdeep: Dragon Heist,WDH,2018-09-18,Adventure
Waterdeep: Dungeon of the Mad Mage,WDotMM,2018-11-20,Adventure
Wayfinder's Guide to Eberron,WGtE,2018-07-23,Source
Xanathar's Guide to Everything,XGtE,2017-11-12,Source
