CR,PB,XP,AC,HP Mean,AB,DPR Mean,DC
0.0,2,10.0,12.0,3.5,2.0,0.5,13
0.125,2,25.0,13.0,21.0,3.0,2.5,13
0.25,2,50.0,13.0,42.5,3.0,4.5,13
0.5,2,100.0,13.0,60.0,3.0,7.0,13
1.0,2,200.0,13.0,78.0,3.0,11.5,13
2.0,2,450.0,13.0,93.0,3.0,17.5,13
3.0,2,700.0,13.0,108.0,4.0,23.5,13
4.0,2,1100.0,14.0,123.0,5.0,29.5,14
5.0,3,1800.0,15.0,138.0,6.0,35.5,15
6.0,3,2300.0,15.0,153.0,6.0,41.5,15
7.0,3,2900.0,15.0,168.0,6.0,47.5,15
8.0,3,3900.0,16.0,183.0,7.0,53.5,16
9.0,4,5000.0,16.0,198.0,7.0,59.5,16
10.0,4,5900.0,17.0,213.0,7.0,65.5,16
11.0,4,7200.0,17.0,228.0,8.0,71.5,17
12.0,4,8400.0,17.0,243.0,8.0,77.5,17
13.0,5,10000.0,18.0,258.0,8.0,83.5,18
14.0,5,11500.0,18.0,273.0,8.0,89.5,18
15.0,5,13000.0,18.0,288.0,8.0,95.5,18
16.0,5,15000.0,18.0,303.0,9.0,101.5,18
17.0,6,18000.0,19.0,318.0,10.0,107.5,19
18.0,6,20000.0,19.0,333.0,10.0,113.5,19
19.0,6,22000.0,19.0,348.0,10.0,119.5,19
20.0,6,25000.0,19.0,378.0,10.0,131.5,19
21.0,7,33000.0,19.0,423.0,11.0,149.5,20
22.0,7,41000.0,19.0,468.0,11.0,167.5,20
23.0,7,50000.0,19.0,513.0,11.0,185.5,20
24.0,7,62000.0,19.0,558.0,12.0,203.5,21
25.0,8,75000.0,19.0,603.0,12.0,221.5,21
26.0,8,90000.0,19.0,648.0,12.0,239.5,21
27.0,8,105000.0,19.0,693.0,13.0,257.5,22
28.0,8,120000.0,19.0,738.0,13.0,275.5,22
29.0,9,135000.0,19.0,783.0,13.0,293.5,22
30.0,9,155000.0,19.0,828.0,14.0,311.5,23
