,monster,id,CR,feature,mean,variance,standard deviation,sigma/mean
0,Assassin,16790-assassin,8.0,Shortsword,31.0,23.333334,4.830459,0.15582125
1,Assassin,16790-assassin,8.0,Light Crossbow,32.0,25.666666,5.066228,0.15831962
3,Bandit,16798-bandit,0.125,Scimitar,4.5,2.9166667,1.7078252,0.3795167
4,Bandit,16798-bandit,0.125,Light Crossbow,5.5,5.25,2.291288,0.41659778
5,Bandit Captain,16799-bandit-captain,2.0,Scimitar,6.5,2.9166667,1.7078252,0.26274234
6,Bandit Captain,16799-bandit-captain,2.0,Dagger,5.5,1.25,1.118034,0.20327891
8,Berserker,16805-berserker,2.0,Greataxe,9.5,11.916667,3.4520526,0.36337397
9,Commoner,16829-commoner,0.0,Club,2.5,1.25,1.118034,0.4472136
10,Cultist,16835-cultist,0.125,Scimitar,4.5,2.9166667,1.7078252,0.3795167
11,Gladiator,16903-gladiator,5.0,Spear,13.0,10.5,3.2403703,0.24925926
12,Gladiator,16903-gladiator,5.0,Shield Bash,9.0,2.5,1.5811388,0.1756821
13,Guard,16915-guard,0.125,Spear,4.5,2.9166667,1.7078252,0.3795167
14,Knight,16938-knight,3.0,Greatsword,10.0,5.8333335,2.4152296,0.24152295
15,Knight,16938-knight,3.0,Heavy Crossbow,5.5,8.25,2.8722813,0.52223295
16,Noble,16966-noble,0.125,Rapier,5.5,5.25,2.291288,0.41659778
17,Scout,17007-scout,0.5,Shortsword,5.5,2.9166667,1.7078252,0.31051365
18,Scout,17007-scout,0.5,Longbow,6.5,5.25,2.291288,0.35250583
19,Spy,17021-spy,1.0,Shortsword,5.5,2.9166667,1.7078252,0.31051365
20,Spy,17021-spy,1.0,Hand Crossbow,5.5,2.9166667,1.7078252,0.31051365
21,Thug,17035-thug,0.5,Mace,5.5,2.9166667,1.7078252,0.31051365
22,Thug,17035-thug,0.5,Heavy Crossbow,5.5,8.25,2.8722813,0.52223295
23,Tribal Warrior,17038-tribal-warrior,0.125,Spear,5.5,5.25,2.291288,0.41659778
24,Veteran,17045-veteran,3.0,Longsword,8.5,8.25,2.8722813,0.33791545
25,Veteran,17045-veteran,3.0,Shortsword,6.5,2.9166667,1.7078252,0.26274234
26,Veteran,17045-veteran,3.0,Heavy Crossbow,6.5,8.25,2.8722813,0.44188944
28,Bat,16802-bat,0.0,Bite,1.0,0.0,0.0,0.0
29,Black Bear,16806-black-bear,0.5,Bite,5.5,2.9166667,1.7078252,0.31051365
30,Black Bear,16806-black-bear,0.5,Claws,7.0,2.5,1.5811388,0.22587697
32,Boar,16812-boar,0.25,Tusk,4.5,2.9166667,1.7078252,0.3795167
33,Brown Bear,16816-brown-bear,1.0,Bite,8.5,5.25,2.291288,0.2695633
34,Brown Bear,16816-brown-bear,1.0,Claws,11.0,5.8333335,2.4152296,0.21956632
36,Cat,16820-cat,0.0,Claws,1.0,0.0,0.0,0.0
37,Constrictor Snake,16830-constrictor-snake,0.25,Bite,5.5,2.9166667,1.7078252,0.31051365
38,Constrictor Snake,16830-constrictor-snake,0.25,Constrict,6.5,5.25,2.291288,0.35250583
39,Crocodile,16834-crocodile,0.5,Bite,7.5,8.25,2.8722813,0.38297084
40,Dire Wolf,16841-dire-wolf,1.0,Bite,10.0,5.8333335,2.4152296,0.24152295
41,Giant Eagle,16881-giant-eagle,1.0,Beak,6.5,2.9166667,1.7078252,0.26274234
42,Giant Eagle,16881-giant-eagle,1.0,Talons,10.0,5.8333335,2.4152296,0.24152295
44,Giant Spider,16895-giant-spider,1.0,Bite,16.5,15.75,3.968627,0.24052285
45,Hawk,16920-hawk,0.0,Talons,1.0,0.0,0.0,0.0
46,Imp,16933-imp,1.0,Sting,16.0,10.0,3.1622777,0.19764236
47,Lion,16944-lion,1.0,Bite,7.5,5.25,2.291288,0.30550504
48,Lion,16944-lion,1.0,Claw,6.5,2.9166667,1.7078252,0.26274234
49,Mastiff,16953-mastiff,0.125,Bite,4.5,2.9166667,1.7078252,0.3795167
50,Mule,16960-mule,0.125,Hooves,4.5,1.25,1.118034,0.248452
