Monster,Monster ID,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,HP Multiplier,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
Aarakocra,17100-aarakocra,MM (2014),12.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,2.0,0.0,0.0,1.0,0.0,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,13.5,13.5,0.5,0.5,4.0,4.0,5.5,6.6666665,
Aarakocra Simulacrum,300122-aarakocra-simulacrum,SKT,188.0,humanoid,medium,generic,N,0.125,2,25.0,0.0,2.0,0.0,0.0,1.0,0.0,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,6.0,6.0,0.5,0.5,4.0,4.0,5.5,6.6666665,
Aartuk Elder,2821141-aartuk-elder,SAiS:BAM,8.0,plant,large,generic,N,3.0,2,700.0,4.0,0.0,2.0,1.0,2.0,1.0,4,0,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,75.0,75.0,1.7,1.7,6.0,6.0,22.0,22.0,
Aartuk Starhorror,2821142-aartuk-starhorror,SAiS:BAM,9.0,plant,medium,generic,N,2.0,2,450.0,1.0,0.0,2.0,1.0,3.0,0.0,1,0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,52.0,52.0,1.2,1.2,3.0,3.0,16.0,16.0,
Aartuk Weedling,2821143-aartuk-weedling,SAiS:BAM,9.0,plant,medium,generic,N,2.0,2,450.0,2.0,1.0,1.0,0.0,1.0,0.0,2,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,38.5,38.5,0.8,0.8,4.0,4.0,16.0,16.0,
Aberrant Zealot,3805736-aberrant-zealot,PaBTSO,203.0,aberration,medium,generic,N,8.0,3,3900.0,2.0,4.0,1.0,1.0,-1.0,4.0,2,7,1,1,-1,7,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,16.0,16.0,93.5,138.5,2.8,2.8,7.0,7.0,55.5,62.5,15.0
Abhorrent Overlord,909467-abhorrent-overlord,MOoT,219.0,fiend,large,generic,N,9.0,4,5000.0,5.0,4.0,3.0,2.0,2.0,3.0,5,4,7,2,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,4.0,1.0,16.0,16.0,136.0,157.0,4.5,8.5,9.0,9.0,58.666668,58.666668,15.0
Abjurer,17324-abjurer,VGtM,209.0,humanoid,medium,legacy,N,9.0,4,5000.0,-1.0,2.0,2.0,4.0,1.0,0.0,-1,2,2,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,20.0,84.5,129.5,2.7,2.7,8.0,8.0,80.666664,80.666664,16.0
Abjurer Wizard,2560712-abjurer-wizard,MPMotM,260.0,humanoid,medium,generic,N,9.0,4,5000.0,-1.0,2.0,2.0,4.0,1.0,0.0,-1,2,2,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,15.0,104.0,156.0,2.7,2.7,8.0,8.0,72.0,72.0,16.0
Aboleth,16762-aboleth,MM (2014),13.0,aberration,large,legendary,LL,10.0,4,5900.0,5.0,-1.0,2.0,4.0,2.0,4.0,5,-1,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,17.0,17.0,135.0,135.0,4.7,4.7,9.0,9.0,98.0,98.0,14.0
Aboleth Spawn,2407521-aboleth-spawn,CRCotN,135.0,aberration,medium,generic,N,5.0,3,1800.0,4.0,0.0,4.0,-2.0,1.0,-1.0,4,0,4,-2,1,-1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,14.0,14.0,93.5,93.5,1.0,1.0,7.0,7.0,26.5,53.5,
Abominable Yeti,17105-abominable-yeti,MM (2014),306.0,monstrosity,huge,generic,N,9.0,4,5000.0,7.0,0.0,6.0,-1.0,1.0,-1.0,7,0,6,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,137.5,177.5,2.0,2.0,11.0,11.0,72.0,72.0,18.0
