Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Prof,Dex Prof,Con Prof,Int Prof,Wis Prof,Cha Prof,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,AC,adj AC,HP,adj HP,AC adjustments,AB,adj AB,DPR,adj DPR,Save DC
SKT,188.0,humanoid,medium,generic,N,0.125,2,25.0,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6.0,6.0,[],4.0,4.0,5.5,6.6666665,
MM,12.0,humanoid,medium,generic,N,0.25,2,50.0,0.0,2.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,0,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.5,13.5,[],4.0,4.0,5.5,6.6666665,
SAiS:BAM,8.0,plant,large,generic,N,3.0,2,700.0,4.0,0.0,2.0,1.0,2.0,1.0,False,False,False,False,False,False,4,0,2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,75.0,75.0,[],,,,,
SAiS:BAM,9.0,plant,medium,generic,N,2.0,2,450.0,1.0,0.0,2.0,1.0,3.0,0.0,False,False,False,False,False,False,1,0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,52.0,52.0,[],,,,,
SAiS:BAM,9.0,plant,medium,generic,N,2.0,2,450.0,2.0,1.0,1.0,0.0,1.0,0.0,False,False,False,False,False,False,2,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,38.5,38.5,[],,,,,
MOoT,219.0,fiend,large,generic,N,9.0,4,5000.0,5.0,4.0,3.0,2.0,2.0,3.0,False,False,True,False,False,True,5,4,7,2,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,18.0,136.0,157.0,"['2 saves', 'magic resistance']",9.0,9.0,58.666668,58.666668,15.0
MPMotM,38.0,fiend,medium,generic,N,7.0,3,2900.0,2.0,3.0,2.0,1.0,3.0,0.0,False,True,False,False,True,False,2,6,2,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,21.0,58.5,117.0,"['2 saves', 'magic resistance', 'shadow stealth']",6.0,8.0,30.5,30.5,
MToF,160.0,fiend,medium,legacy,N,7.0,3,2900.0,2.0,3.0,2.0,1.0,3.0,0.0,False,True,False,False,True,False,2,6,2,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,21.0,58.5,117.0,"['2 saves', 'magic resistance', 'shadow stealth']",6.0,8.0,30.5,30.5,
MPMotM,39.0,fiend,medium,generic,N,17.0,6,18000.0,2.0,2.0,3.0,6.0,6.0,4.0,False,False,False,True,True,False,2,2,3,12,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,21.0,202.5,253.1,"['2 saves', 'magic resistance']",12.0,12.0,108.0,108.0,
MToF,161.0,fiend,medium,legacy,N,17.0,6,18000.0,2.0,2.0,3.0,6.0,6.0,4.0,False,False,False,True,True,False,2,2,3,12,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,21.0,195.0,243.8,"['2 saves', 'magic resistance']",12.0,12.0,118.0,118.0,20.0
